nb;Param;Instance;solution;time
30;1;1;38;1.66888
30;1;2;42;1.62084
30;1;3;43;1.49426
30;1;4;55;1.77009
30;1;5;31;1.44551
30;1;6;38;1.77471
30;1;7;60;1.7181
30;1;8;53;1.52144
30;1;9;42;1.22789
30;1;10;37;1.77344
30;2;1;34;1.61453
30;2;2;46;1.54018
30;2;3;43;1.49237
30;2;4;42;1.49269
30;2;5;51;1.57699
30;2;6;47;1.3789
30;2;7;47;1.27177
30;2;8;50;1.81026
30;2;9;51;1.96616
30;2;10;41;1.29882
30;3;1;72;1.15264
30;3;2;39;1.42045
30;3;3;57;1.1956
30;3;4;98;0.961324
30;3;5;46;1.35948
30;3;6;53;1.09695
30;3;7;48;1.42102
30;3;8;54;1.85203
30;3;9;60;1.16944
30;3;10;57;1.06504
30;4;1;49;1.01077
30;4;2;60;1.08206
30;4;3;47;1.22362
30;4;4;57;0.843018
30;4;5;59;2.32361
30;4;6;45;1.21737
30;4;7;56;1.15467
30;4;8;55;1.0042
30;4;9;38;1.56943
30;4;10;48;1.27068
30;5;1;41;2.73134
30;5;2;56;3.03631
30;5;3;54;2.35244
30;5;4;43;3.96195
30;5;5;58;1.66011
30;5;6;47;3.13968
30;5;7;43;4.00364
30;5;8;53;2.22114
30;5;9;38;2.5853
30;5;10;56;3.19359
30;6;1;54;2.12093
30;6;2;50;2.81642
30;6;3;45;2.98803
30;6;4;36;3.01672
30;6;5;57;2.03567
30;6;6;35;2.70643
30;6;7;43;2.22206
30;6;8;39;3.78284
30;6;9;48;2.45117
30;6;10;58;3.04334
30;7;1;55;3.06957
30;7;2;42;2.49133
30;7;3;39;3.04238
30;7;4;44;2.69623
30;7;5;41;3.96868
30;7;6;35;2.95636
30;7;7;50;2.26661
30;7;8;43;3.11443
30;7;9;56;2.85797
30;7;10;43;2.5535
30;8;1;44;2.77095
30;8;2;51;2.32863
30;8;3;53;2.60158
30;8;4;48;3.06813
30;8;5;58;1.99129
30;8;6;47;2.84129
30;8;7;41;2.65059
30;8;8;51;2.67272
30;8;9;39;4.12416
30;8;10;67;2.08719
30;9;1;55;6.06938
30;9;2;45;4.94973
30;9;3;48;6.38838
30;9;4;52;5.62735
30;9;5;53;4.0182
30;9;6;47;4.70173
30;9;7;41;4.8131
30;9;8;54;5.29564
30;9;9;37;4.31095
30;9;10;63;4.82055
30;10;1;41;4.53502
30;10;2;52;3.28851
30;10;3;61;4.56369
30;10;4;53;3.27698
30;10;5;41;6.83236
30;10;6;40;4.87261
30;10;7;47;4.51655
30;10;8;50;4.83268
30;10;9;49;6.29174
30;10;10;37;4.60174
30;11;1;52;4.16984
30;11;2;56;3.79821
30;11;3;81;4.37419
30;11;4;60;3.04192
30;11;5;48;4.46563
30;11;6;44;4.70498
30;11;7;35;7.05985
30;11;8;62;6.07218
30;11;9;67;4.72241
30;11;10;38;3.63481
30;12;1;47;5.54538
30;12;2;46;4.67106
30;12;3;37;5.07832
30;12;4;63;4.43356
30;12;5;47;3.35497
30;12;6;53;4.66458
30;12;7;55;4.98858
30;12;8;35;3.74077
30;12;9;52;3.32065
30;12;10;57;5.97584
30;13;1;34;1.29674
30;13;2;32;1.50698
