nb;Param;Instance;solution;time
30;25;5;79;1e-06
30;25;6;71;1e-06
30;25;7;115;0
30;25;8;80;0
30;25;9;98;1e-06
30;25;10;69;0
30;26;1;66;0
30;26;2;40;1e-06
30;26;3;59;0
30;26;4;63;0
30;26;5;74;0
30;26;6;64;0
30;26;7;61;1e-06
30;26;8;68;0
30;26;9;47;0
30;26;10;57;1e-06
30;27;1;46;0
30;27;2;59;1e-06
30;27;3;66;1e-06
30;27;4;70;0
30;27;5;56;0
30;27;6;65;1e-06
30;27;7;53;1e-06
30;27;8;78;1e-06
30;27;9;61;0
30;27;10;68;0
30;28;1;69;0
30;28;2;57;0
30;28;3;40;0
30;28;4;49;0
30;28;5;73;0
30;28;6;55;1e-06
30;28;7;48;1e-06
30;28;8;53;0
30;28;9;62;1e-06
30;28;10;59;1e-06
30;29;1;100;0
30;29;2;105;0
30;29;3;85;0
30;29;4;106;1e-06
30;29;5;115;0
30;29;6;100;0
30;29;7;85;0
30;29;8;93;1e-06
30;29;9;120;0
30;29;10;80;0
30;30;1;55;1e-06
30;30;2;77;1e-06
30;30;3;63;0
30;30;4;61;0
30;30;5;63;0
30;30;6;67;0
30;30;7;71;1e-06
30;30;8;49;0
30;30;9;52;1e-06
30;30;10;57;1e-06
30;31;1;43;1e-06
30;31;2;63;0
30;31;3;60;0
30;31;4;52;1e-06
30;31;5;59;0
30;31;6;56;1e-06
30;31;7;66;1e-06
30;31;8;58;0
30;31;9;59;1e-06
30;31;10;60;0
30;32;1;61;0
30;32;2;60;0
30;32;3;57;1e-06
30;32;4;68;0
30;32;5;54;1e-06
30;32;6;44;0
30;32;7;35;0
30;32;8;54;0
30;32;9;65;0
30;32;10;51;1e-06
30;33;1;75;1e-06
30;33;2;68;0
30;33;3;58;0
30;33;4;82;1e-06
30;33;5;62;0
30;33;6;59;0
30;33;7;61;0
30;33;8;66;0
30;33;9;75;0
30;33;10;53;1e-06
30;34;1;68;0
30;34;2;44;0
30;34;3;70;1e-06
30;34;4;75;0
30;34;5;69;0
30;34;6;56;0
30;34;7;60;1e-06
30;34;8;62;0
30;34;9;60;0
30;34;10;48;0
30;35;1;59;0
30;35;2;53;0
30;35;3;64;0
30;35;4;56;0
30;35;5;62;0
30;35;6;65;1e-06
30;35;7;64;1e-06
30;35;8;63;1e-06
30;35;9;65;1e-06
30;35;10;59;0
30;36;1;66;0
30;36;2;44;0
30;36;3;61;0
30;36;4;59;1e-06
30;36;5;64;0
30;36;6;46;0
30;36;7;56;1e-06
30;36;8;63;0
30;36;9;59;0
30;36;10;59;1e-06
30;37;1;84;1e-06
30;37;2;75;1e-06
30;37;3;94;1e-06
30;37;4;91;0
30;37;5;101;1e-06
30;37;6;83;1e-06
30;37;7;98;0
30;37;8;82;0
30;37;9;67;1e-06
30;37;10;93;1e-06
30;38;1;50;0
30;38;2;59;0
30;38;3;64;0
30;38;4;62;0
30;38;5;76;0
30;38;6;65;1e-06
30;38;7;69;0
30;38;8;66;0
30;38;9;65;1e-06
30;38;10;62;1e-06
30;39;1;61;0
30;39;2;56;0
30;39;3;55;1e-06
30;39;4;54;0
30;39;5;57;0
30;39;6;69;0
30;39;7;56;1e-06
30;39;8;67;1e-06
30;39;9;65;0
30;39;10;60;0
30;40;1;51;0
30;40;2;56;0
30;40;3;57;0
30;40;4;57;0
30;40;5;65;1e-06
30;40;6;60;0
30;40;7;46;1e-06
30;40;8;57;0
30;40;9;64;1e-06
30;40;10;51;0
30;41;1;94;1e-06
30;41;2;100;1e-06
30;41;3;105;0
30;41;4;92;1e-06
30;41;5;107;0
30;41;6;110;1e-06
30;41;7;98;1e-06
30;41;8;95;1e-06
30;41;9;109;0
30;41;10;116;0
30;42;1;65;0
30;42;2;58;1e-06
30;42;3;65;0
30;42;4;55;1e-06
30;42;5;58;0
30;42;6;72;0
30;42;7;73;0
30;42;8;83;1e-06
30;42;9;67;1e-06
30;42;10;76;0
30;43;1;61;0
30;43;2;53;0
30;43;3;61;0
30;43;4;71;1e-06
30;43;5;77;0
30;43;6;63;1e-06
30;43;7;59;0
30;43;8;67;1e-06
30;43;9;58;1e-06
30;43;10;64;1e-06
30;44;1;50;0
30;44;2;54;0
30;44;3;51;1e-06
30;44;4;57;1e-06
30;44;5;55;0
30;44;6;56;1e-06
30;44;7;42;1e-06
30;44;8;49;0
30;44;9;64;0
30;44;10;63;0
30;45;1;96;1e-06
30;45;2;133;0
30;45;3;100;0
30;45;4;99;0
30;45;5;95;1e-06
30;45;6;152;1e-06
30;45;7;119;0
30;45;8;102;1e-06
30;45;9;92;0
30;45;10;110;1e-06
30;46;1;71;0
30;46;2;71;0
30;46;3;76;1e-06
30;46;4;73;1e-06
30;46;5;64;0
30;46;6;60;1e-06
30;46;7;62;0
30;46;8;65;1e-06
30;46;9;55;0
30;46;10;57;1e-06
30;47;1;65;0
30;47;2;60;1e-06
30;47;3;59;1e-06
30;47;4;53;0
30;47;5;48;1e-06
30;47;6;62;1e-06
30;47;7;68;1e-06
30;47;8;56;1e-06
30;47;9;69;1e-06
30;47;10;64;0
30;48;1;63;1e-06
