nb;Param;Instance;solution;time
30;1;1;38;0.113517
30;1;2;42;0.092059
30;1;3;43;0.081019
30;1;4;55;0.118164
30;1;5;31;0.117007
30;1;6;38;0.068092
30;1;7;60;0.106903
30;1;8;53;0.096022
30;1;9;42;0.104219
30;1;10;37;0.08766
30;2;1;34;0.081893
30;2;2;46;0.109636
30;2;3;43;0.103523
30;2;4;42;0.092374
30;2;5;51;0.112352
30;2;6;47;0.080894
30;2;7;47;0.101485
30;2;8;50;0.108354
30;2;9;51;0.128471
30;2;10;41;0.092153
30;3;1;72;0.155638
30;3;2;39;0.080248
30;3;3;57;0.105891
30;3;4;98;0.136401
30;3;5;46;0.108775
30;3;6;53;0.093275
30;3;7;48;0.087161
30;3;8;54;0.094648
30;3;9;60;0.104417
30;3;10;57;0.112801
30;4;1;49;0.082842
30;4;2;60;0.100765
30;4;3;47;0.112138
30;4;4;57;0.100896
30;4;5;59;0.10718
30;4;6;45;0.089975
30;4;7;56;0.120809
30;4;8;55;0.100799
30;4;9;38;0.089054
30;4;10;48;0.093344
30;5;1;41;0.166901
30;5;2;56;0.175037
30;5;3;54;0.200318
30;5;4;43;0.691361
30;5;5;58;0.397177
30;5;6;47;0.162361
30;5;7;43;0.206933
30;5;8;53;1.26987
30;5;9;38;0.134312
30;5;10;56;0.351641
30;6;1;54;0.407123
30;6;2;50;0.155264
30;6;3;45;0.130741
30;6;4;36;0.145608
30;6;5;57;0.253354
30;6;6;35;0.087143
30;6;7;43;0.125453
30;6;8;39;0.138549
30;6;9;48;0.119904
30;6;10;58;0.141916
30;7;1;55;0.111173
30;7;2;42;0.104213
30;7;3;39;0.097915
30;7;4;44;0.134423
30;7;5;41;0.163958
30;7;6;35;0.075788
30;7;7;50;0.148746
30;7;8;43;0.146091
30;7;9;56;0.102625
30;7;10;43;0.120685
30;8;1;44;0.09629
30;8;2;51;0.128082
30;8;3;53;0.128225
30;8;4;48;0.094235
30;8;5;58;0.125743
30;8;6;47;0.13897
30;8;7;41;0.105432
30;8;8;51;0.130639
30;8;9;39;0.11222
30;8;10;67;0.149866
30;9;1;55;5.50629
30;9;2;45;5.78787
30;9;3;48;5.07787
30;9;4;52;0.976695
30;9;5;53;0.570013
30;9;6;47;0.575429
30;9;7;41;2.31678
30;9;8;54;7.04102
30;9;9;37;2.98515
30;9;10;63;0.685675
30;10;1;41;0.33364
30;10;2;52;0.166732
30;10;3;61;0.276788
30;10;4;53;0.236972
30;10;5;41;0.66864
30;10;6;40;0.158715
30;10;7;47;0.22295
30;10;8;50;0.150003
30;10;9;49;0.113688
30;10;10;37;0.125603
30;11;1;52;1.01498
30;11;2;56;0.163229
30;11;3;81;0.146778
30;11;4;60;0.510873
30;11;5;48;0.245629
30;11;6;44;0.129101
30;11;7;35;0.139459
30;11;8;62;0.220622
30;11;9;67;0.146413
30;11;10;38;0.115514
30;12;1;47;0.138056
30;12;2;46;0.142205
30;12;3;37;0.147296
30;12;4;63;0.340762
30;12;5;47;0.124816
30;12;6;53;0.152868
30;12;7;55;0.168278
30;12;8;35;0.130704
30;12;9;52;0.15755
30;12;10;57;0.143502
30;13;1;34;6.47695
30;13;2;32;3.85883
30;13;3;45;6.98295
30;13;4;50;3.75577
30;13;5;43;5.54075
30;13;6;44;0.198581
30;13;7;50;1.36481
30;13;8;48;7.80147
30;13;9;51;0.275303
30;13;10;52;0.192676
30;14;1;43;0.161252
30;14;2;44;0.24581
30;14;3;58;0.168028
30;14;4;45;0.412896
30;14;5;50;0.118016
30;14;6;34;2.11764
30;14;7;47;0.276807
30;14;8;54;0.206343
30;14;9;44;0.167178
30;14;10;58;0.388392
30;15;1;46;0.122528
30;15;2;47;0.219382
30;15;3;48;0.141885
30;15;4;48;0.138033
30;15;5;56;7.36383
30;15;6;67;0.263004
30;15;7;47;0.176962
30;15;8;46;0.174539
30;15;9;54;0.268602
30;15;10;65;0.226823
30;16;1;51;0.232834
30;16;2;48;0.164361
30;16;3;36;0.140175
30;16;4;47;0.125076
30;16;5;51;0.164813
30;16;6;51;0.128777
30;16;7;34;0.118249
30;16;8;44;0.116584
30;16;9;44;0.107186
30;16;10;51;0.135495
30;17;1;45;0.134018
30;17;2;59;0.115701
30;17;3;60;0.10188
30;17;4;42;0.094292
30;17;5;35;0.135788
30;17;6;63;0.10236
30;17;7;50;0.123794
30;17;8;53;0.096453
30;17;9;44;0.085667
30;17;10;66;0.14538
30;18;1;47;0.099624
30;18;2;52;0.114786
30;18;3;53;0.112647
30;18;4;67;0.125169
30;18;5;50;0.105528
30;18;6;53;0.109962
30;18;7;46;0.086033
30;18;8;49;0.100872
30;18;9;44;0.094498
30;18;10;41;0.107015
30;19;1;39;0.080969
30;19;2;58;0.142171
30;19;3;83;0.202703
30;19;4;39;0.086774
30;19;5;47;0.099078
30;19;6;44;0.07529
30;19;7;54;0.099666
30;19;8;55;0.11086
30;19;9;38;0.101212
30;19;10;44;0.100187
30;20;1;57;0.129119
30;20;2;70;0.12155
30;20;3;49;0.122121
30;20;4;43;0.101353
30;20;5;61;0.106703
30;20;6;51;0.108478
30;20;7;42;0.085895
30;20;8;51;0.095744
30;20;9;41;0.090247
30;20;10;37;0.076155
30;21;1;60;0.275443
30;21;2;42;1.0434
30;21;3;60;1.79592
30;21;4;52;0.637555
30;21;5;43;0.569381
30;21;6;53;0.19477
30;21;7;53;0.519643
30;21;8;48;0.43079
30;21;9;43;0.129862
30;21;10;54;0.171178
30;22;1;40;0.127084
30;22;2;42;0.113477
30;22;3;61;0.145119
30;22;4;40;0.124073
30;22;5;46;0.112037
30;22;6;45;0.147681
30;22;7;55;0.212172
30;22;8;50;0.142586
30;22;9;72;0.123622
30;22;10;52;0.29864
30;23;1;63;0.149435
30;23;2;53;0.117347
30;23;3;46;0.095585
30;23;4;63;0.161164
30;23;5;48;0.094419
30;23;6;47;0.106787
30;23;7;58;0.111188
30;23;8;48;0.207882
30;23;9;58;0.174656
30;23;10;61;0.115303
30;24;1;53;0.107982
30;24;2;58;0.096706
30;24;3;69;0.207298
30;24;4;53;0.11255
30;24;5;51;0.150432
30;24;6;56;0.178568
30;24;7;44;0.108593
30;24;8;38;0.111131
30;24;9;43;0.162942
30;24;10;53;0.143592
30;25;1;63;6.85441
30;25;2;43;5.70175
30;25;3;44;1.14481
30;25;4;48;5.20714
30;25;5;45;1.13148
30;25;6;41;0.531009
30;25;7;59;7.812
30;25;8;38;6.16344
30;25;9;50;5.44989
30;25;10;47;3.60965
30;26;1;59;1.43955
30;26;2;40;0.114536
30;26;3;58;5.28409
30;26;4;62;0.270529
30;26;5;64;0.218594
30;26;6;49;0.838333
