nb;Param;Instance;solution;time
30;1;1;43;0.489064
30;1;2;47;0.201437
30;1;3;47;0.174613
30;1;4;62;6.72905
30;1;5;38;3.75949
30;1;6;48;0.193008
30;1;7;60;0.172803
30;1;8;53;0.220392
30;1;9;48;3.57688
30;1;10;45;5.92905
30;2;1;38;0.073768
30;2;2;0;0
30;2;3;43;0.129169
30;2;4;43;0.097439
30;2;5;0;0
30;2;6;47;0.063328
30;2;7;47;0.058885
30;2;8;54;0.069574
30;2;9;54;0.256096
30;2;10;43;0.202041
30;3;1;72;0.088455
30;3;2;0;0
30;3;3;0;0
30;3;4;98;0.184316
30;3;5;53;0.087604
30;3;6;53;0.046641
30;3;7;0;0
30;3;8;0;0
30;3;9;0;0
30;3;10;59;0.062359
30;4;1;0;0
30;4;2;0;0
30;4;3;0;0
30;4;4;0;0
30;4;5;0;0
30;4;6;0;0
30;4;7;0;0
30;4;8;0;0
30;4;9;0;0
30;4;10;0;0
30;5;1;48;20.3868
30;5;2;77;37.9377
30;5;3;76;1811.81
30;5;4;57;674.202
30;5;5;76;243.251
30;5;6;60;226.424
30;5;7;72;614.696
30;5;8;67;1806.54
30;5;9;49;19.8413
30;5;10;70;170.67
30;6;1;59;108.315
30;6;2;51;10.6969
30;6;3;48;4.8758
30;6;4;42;5.10681
30;6;5;63;6.40837
30;6;6;37;0.419578
30;6;7;46;0.513583
30;6;8;39;3.91751
30;6;9;51;0.169956
30;6;10;61;9.70094
30;7;1;0;0
30;7;2;42;0.15073
30;7;3;39;0.255552
30;7;4;44;0.173157
30;7;5;44;0.072836
30;7;6;35;0.068661
30;7;7;50;0.152856
30;7;8;43;0.055357
30;7;9;0;0
30;7;10;49;0.108037
30;8;1;0;0
30;8;2;0;0
30;8;3;0;0
30;8;4;0;0
30;8;5;0;0
30;8;6;0;0
30;8;7;0;0
30;8;8;0;0
30;8;9;0;0
30;8;10;0;0
30;9;1;81;1805.03
30;9;2;0;0
30;9;3;67;1812.39
30;9;4;71;1808.9
30;9;5;65;149.599
30;9;6;55;99.1412
30;9;7;58;1810.79
30;9;8;92;1808.6
30;9;9;61;1814.1
30;9;10;86;1815.95
30;10;1;42;0.215594
30;10;2;56;65.462
30;10;3;62;173.957
30;10;4;58;27.5948
30;10;5;41;7.76775
30;10;6;43;17.051
30;10;7;49;2.74036
30;10;8;54;6.80158
30;10;9;0;0
30;10;10;41;7.9736
30;11;1;54;6.59348
30;11;2;56;0.467421
30;11;3;81;0.435243
30;11;4;63;0.771107
30;11;5;49;17.9675
30;11;6;44;0.238777
30;11;7;36;3.01048
30;11;8;62;0.282106
30;11;9;67;0.279226
30;11;10;38;0.145646
30;12;1;0;0
30;12;2;0;0
30;12;3;0;0
30;12;4;0;0
30;12;5;0;0
30;12;6;0;0
30;12;7;0;0
30;12;8;0;0
30;12;9;0;0
30;12;10;0;0
30;13;1;54;1817.3
30;13;2;62;1813.52
30;13;3;95;1805.89
30;13;4;70;1815.37
30;13;5;67;1814.65
30;13;6;69;1815.23
