nb;Param;Instance;solution;time
30;1;1;43;210.23
30;1;2;47;254.272
30;1;3;47;154.815
30;1;4;64;1816.13
30;1;5;39;1807.79
30;1;6;48;309.664
30;1;7;60;17.7164
30;1;8;53;35.6861
30;1;9;49;508.421
30;1;10;45;230.957
30;2;1;38;57.2058
30;2;2;51;253.935
30;2;3;43;19.9758
30;2;4;43;15.1825
30;2;5;51;4.43322
30;2;6;47;10.0488
30;2;7;47;10.0551
30;2;8;54;1229.78
30;2;9;54;130.791
30;2;10;43;22.058
30;3;1;72;4.97912
30;3;2;40;12.3938
30;3;3;57;2.52319
30;3;4;98;3.21418
30;3;5;53;17.4505
30;3;6;54;3.04283
30;3;7;48;4.43343
30;3;8;54;2.29281
30;3;9;65;176.207
30;3;10;59;9.43366
30;4;1;49;1.80197
30;4;2;60;2.97333
30;4;3;47;11.1481
30;4;4;57;1.3049
30;4;5;59;10.9031
30;4;6;45;8.19329
30;4;7;56;3.16688
30;4;8;55;2.5437
30;4;9;38;12.6449
30;4;10;48;7.18392
30;5;1;67;1812.47
30;5;2;94;1810.69
30;5;3;100;1812.37
30;5;4;73;1807.06
30;5;5;103;1806.59
30;5;6;84;1811.59
30;5;7;0,0
30;5;8;93;1808.71
30;5;9;68;1824.98
30;5;10;0,0
30;6;1;59;1818.02
30;6;2;54;1812.85
30;6;3;48;491.284
30;6;4;43;1834.77
30;6;5;67;1207.71
30;6;6;37;1031.23
30;6;7;46;662.169
30;6;8;41;1843.49
30;6;9;51;1171.32
30;6;10;61;1812.89
30;7;1;55;73.9848
30;7;2;42;162.359
30;7;3;42;234.61
30;7;4;44;115.672
30;7;5;44;650.058
30;7;6;35;18.0218
30;7;7;50;220.205
30;7;8;44;993.332
30;7;9;60;761.953
30;7;10;49;1105.86
30;8;1;44;12.2699
30;8;2;51;6.37839
30;8;3;53;17.4559
30;8;4;48;24.6599
30;8;5;58;9.209
30;8;6;47;22.6314
30;8;7;41;14.5264
30;8;8;51;32.3634
30;8;9;39;20.6207
30;8;10;67;43.4413
30;9;1;111;1812.01
30;9;2;0,0
30;9;3;104;1810.95
30;9;4;95;1815.55
30;9;5;84;1838.26
30;9;6;0,0
30;9;7;89;1811.83
30;9;8;147;1807.03
30;9;9;106;1806.32
